# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_pf_model
# start_datetime = 2024-01-28 16:03:48 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 1000 (Default)
#     num_paths = 4 (Default)
#     save_single_paths = 0 (Default)
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 1000 (Default)
#     num_elbo_draws = 25 (Default)
# id = 4
# data
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_data_4.json
# init = 2 (Default)
# random
#   seed = 1995513073
# output
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_profile_4.log
#   save_cmdstan_config = 1
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-0.482546, -7.69123, 0.290074
-2.20109, -9.08175, 0.139446
-1.04588, -8.19405, 0.202933
-0.484111, -7.69312, 0.289333
-0.47291, -7.68416, 0.375379
-0.578039, -7.78238, 0.408654
-0.446417, -7.65707, 0.36012
-1.82364, -8.84759, 0.15241
-1.63485, -8.69599, 0.161904
-0.440657, -7.67958, 0.373197
-2.75732, -10.1544, 0.651949
-0.728348, -7.95198, 0.445544
-1.61111, -8.86571, 0.558051
-3.73506, -10.1355, 0.0974001
-0.626255, -7.82693, 0.253799
-0.445473, -7.64168, 0.3448
-0.515885, -7.72318, 0.278976
-0.441597, -7.65186, 0.311084
-1.2791, -8.41037, 0.18297
-0.687565, -7.90099, 0.435786
-0.496267, -7.72692, 0.277838
-0.583026, -7.79854, 0.412865
-0.710202, -7.92567, 0.440614
-2.4284, -9.79866, 0.62977
-1.5752, -8.8678, 0.558243
-0.4359, -7.64596, 0.350459
-0.565061, -7.7794, 0.407855
-0.67367, -7.89377, 0.434331
-0.429695, -7.64014, 0.341918
-1.08748, -8.23867, 0.198437
-1.36129, -8.44686, 0.179995
-0.442478, -7.65263, 0.35673
-2.56738, -9.41973, 0.123538
-3.6973, -10.2249, 0.0946751
-0.817177, -8.04286, 0.461181
-3.88681, -10.3557, 0.0908618
-0.704213, -7.92615, 0.440706
-0.412838, -7.65161, 0.311283
-1.13315, -8.38694, 0.508433
