# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_pf_model
# start_datetime = 2024-01-28 16:03:48 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 1000 (Default)
#     num_paths = 4 (Default)
#     save_single_paths = 0 (Default)
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 1000 (Default)
#     num_elbo_draws = 25 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_data_2.json
# init = 2 (Default)
# random
#   seed = 1995513073
# output
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_profile_2.log
#   save_cmdstan_config = 1
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-0.406677, -7.64662, 0.351178
-0.467265, -7.68424, 0.29295
-0.696523, -7.91799, 0.439133
-1.76733, -9.07748, 0.576563
-0.454569, -7.66413, 0.30284
-2.52878, -9.39093, 0.124785
-0.93861, -8.10586, 0.212562
-0.421953, -7.63943, 0.326527
-2.9696, -10.378, 0.664836
-0.932186, -8.10734, 0.21239
-3.0324, -10.4095, 0.666599
-0.644863, -7.84513, 0.250282
-1.56795, -8.63962, 0.165699
-0.654532, -7.85966, 0.247599
-1.38412, -8.65956, 0.538247
-0.491526, -7.70757, 0.284054
-0.740688, -7.9378, 0.234683
-0.530718, -7.74357, 0.397495
-0.541143, -7.75592, 0.401234
-1.01159, -8.16599, 0.205883
-0.574161, -7.77952, 0.263977
-0.877563, -8.10718, 0.471219
-0.401262, -7.64104, 0.323086
-0.779379, -8.00616, 0.455097
-1.46939, -8.55982, 0.171352
-0.701535, -7.90245, 0.240246
-0.815789, -8.0423, 0.461089
-0.852047, -8.08388, 0.467667
-0.4779, -7.68888, 0.37752
-1.36438, -8.47358, 0.177877
-0.493262, -7.73103, 0.393476
-0.91691, -8.15351, 0.478033
-0.421209, -7.63837, 0.336061
-1.0629, -8.2203, 0.20026
-0.426488, -7.64322, 0.347105
-0.406293, -7.64563, 0.316857
-0.555333, -7.76791, 0.266754
-0.503758, -7.7199, 0.389683
-0.645077, -7.85101, 0.249185
-0.898557, -8.13379, 0.475171
-0.456432, -7.69496, 0.380141
-1.14441, -8.39829, 0.509777
-0.88708, -8.12163, 0.47338
-0.977219, -8.21825, 0.487061
-0.477488, -7.71012, 0.283186
-0.571101, -7.77666, 0.264649
-1.85091, -8.82302, 0.153884
-1.01953, -8.25707, 0.492232
-0.520192, -7.73653, 0.395268
-0.46698, -7.68397, 0.293068
-1.77148, -8.80238, 0.15514
-0.618329, -7.82642, 0.2539
-1.25386, -8.5179, 0.52336
-1.08237, -8.23696, 0.198605
-0.480027, -7.71804, 0.389025
-0.696501, -7.89246, 0.241898
-0.900191, -8.13554, 0.475428
-4.05608, -11.4891, 0.719624
-0.423971, -7.64155, 0.322202
-0.573185, -7.77861, 0.264191
-1.22058, -8.3352, 0.189419
-0.499246, -7.70728, 0.284153
-2.61169, -9.99803, 0.64247
-0.699613, -7.92101, 0.439718
-2.38353, -9.27281, 0.1301
-0.39927, -7.63923, 0.327082
-1.9006, -9.22299, 0.588398
-0.470538, -7.68127, 0.294245
-0.756995, -7.94733, 0.23325
-0.580624, -7.81734, 0.417511
-0.92802, -8.09958, 0.213289
-0.640263, -7.85951, 0.427146
-0.429666, -7.66695, 0.301255
-1.27507, -8.39957, 0.183869
-0.616991, -7.81832, 0.25553
-0.421827, -7.63929, 0.326905
-1.41516, -8.66437, 0.538734
-2.89698, -10.1865, 0.653843
-0.629149, -7.83063, 0.253069
-2.59007, -9.42601, 0.123268
-0.402173, -7.64226, 0.345714
-0.977888, -8.14341, 0.208331
-1.06975, -8.22288, 0.200002
-0.428316, -7.63832, 0.330994
-2.37558, -9.27569, 0.129967
-0.443261, -7.66085, 0.304797
-0.494348, -7.71041, 0.386247
-0.499697, -7.71137, 0.386603
-1.80976, -9.12027, 0.580111
-1.00583, -8.24572, 0.490738
-0.398039, -7.63817, 0.333521
-0.434436, -7.64632, 0.350857
-0.528811, -7.74298, 0.273216
-1.03565, -8.19343, 0.202997
-1.25386, -8.5179, 0.52336
-0.456833, -7.67413, 0.297557
-1.0089, -8.25228, 0.491604
-0.437029, -7.67605, 0.371434
-0.529344, -7.74348, 0.273078
-0.579287, -7.78431, 0.262869
-0.440009, -7.64988, 0.312737
-0.6517, -7.85707, 0.24807
-0.426335, -7.63819, 0.334182
-0.514291, -7.72166, 0.279447
-1.7427, -9.00108, 0.570073
-0.440776, -7.6509, 0.355273
-0.39971, -7.63986, 0.341277
-0.403939, -7.64397, 0.348097
-0.399981, -7.63987, 0.325424
-4.08999, -10.4846, 0.0872951
-5.33666, -11.1295, 0.0718427
-0.456939, -7.66915, 0.36774
-0.492707, -7.72374, 0.278805
-0.728044, -7.92048, 0.237358
-0.445558, -7.65576, 0.359166
-0.437029, -7.67605, 0.371434
-0.422552, -7.66047, 0.30503
-0.90252, -8.14079, 0.476194
-1.6151, -8.67776, 0.163114
-1.96446, -9.22931, 0.588897
-0.433411, -7.64518, 0.31736
-2.48036, -9.84899, 0.633046
-2.49206, -9.77171, 0.627998
-0.871798, -8.10967, 0.471593
-0.808161, -8.0369, 0.460212
-1.20061, -8.31921, 0.190852
-0.39804, -7.63817, 0.333462
-0.666077, -7.87575, 0.244745
-1.50715, -8.59056, 0.169133
-0.46122, -7.67175, 0.369175
-0.932186, -8.10734, 0.21239
-0.657634, -7.85688, 0.248106
-0.507278, -7.71497, 0.281579
-0.519174, -7.75653, 0.401415
-0.412933, -7.65268, 0.356768
-2.91612, -10.206, 0.65499
-0.403939, -7.64397, 0.348097
-0.698057, -7.93455, 0.442302
-0.478682, -7.69525, 0.28851
-0.826947, -8.01482, 0.223794
-1.10849, -8.25619, 0.196732
-0.4269, -7.63875, 0.328708
-0.422552, -7.66047, 0.30503
-3.01982, -9.65869, 0.113841
-0.779163, -8.00394, 0.454721
-0.601071, -7.81913, 0.417941
-1.68634, -8.98907, 0.569034
-0.911177, -8.14957, 0.477465
-1.03779, -8.28337, 0.495643
-0.435172, -7.65159, 0.355864
-0.446775, -7.657, 0.360071
-1.18803, -8.43602, 0.514175
-0.54739, -7.76094, 0.4027
-0.476994, -7.69363, 0.289134
-1.32973, -8.42197, 0.182014
-0.642364, -7.86179, 0.427639
-0.629777, -7.83121, 0.252955
-1.45405, -8.54804, 0.172217
-0.508653, -7.74617, 0.398299
-0.986384, -8.15443, 0.207127
-0.487898, -7.7041, 0.285264
-1.13838, -8.28463, 0.194031
-0.4288, -7.64648, 0.315953
-0.486643, -7.69674, 0.287946
-0.927262, -8.16464, 0.479624
-0.527341, -7.76459, 0.403746
-1.83891, -9.15564, 0.583001
-0.739309, -7.93135, 0.235668
-0.92553, -8.15771, 0.478636
-0.441069, -7.67998, 0.373393
-1.7443, -9.03112, 0.572648
-1.06476, -8.21904, 0.200387
-0.540525, -7.75401, 0.270262
-1.7427, -9.00108, 0.570073
-0.967449, -8.20776, 0.485633
-1.32933, -8.44301, 0.180305
-0.48771, -7.69776, 0.287563
-1.17634, -8.42358, 0.512737
-0.673255, -7.9097, 0.437515
-0.426316, -7.63817, 0.333262
-0.48466, -7.72259, 0.39062
-0.429649, -7.64151, 0.344512
-0.673255, -7.9097, 0.437515
-0.431216, -7.64123, 0.344038
-4.81265, -10.9557, 0.0756547
-0.455491, -7.69033, 0.290432
-1.0063, -8.24979, 0.491276
-1.79986, -8.78463, 0.156235
-0.553754, -7.76903, 0.405002
-0.606354, -7.82272, 0.418798
-1.94572, -8.93899, 0.147127
-0.496267, -7.72692, 0.277838
-0.457335, -7.66956, 0.367966
-0.435958, -7.64589, 0.316575
-0.533959, -7.74174, 0.273557
-0.571454, -7.77576, 0.264862
-0.428841, -7.6407, 0.343054
-0.490184, -7.70013, 0.286688
-1.16612, -8.30811, 0.191861
-0.535559, -7.74188, 0.273518
-1.49588, -8.58078, 0.169834
-3.14092, -10.5712, 0.675403
-0.724596, -7.92597, 0.236499
-0.464732, -7.70307, 0.383433
-0.491533, -7.70758, 0.284051
-0.531432, -7.74584, 0.398198
-0.770515, -7.96456, 0.230726
-0.913946, -8.15238, 0.47787
-0.79258, -7.97935, 0.228623
-0.764417, -7.95402, 0.23226
-1.09441, -8.345, 0.503371
-0.555333, -7.76791, 0.266754
-0.662745, -7.86717, 0.246253
-0.586742, -7.80212, 0.413769
-1.06483, -8.20951, 0.20135
-0.433238, -7.64971, 0.354213
-0.764417, -7.95402, 0.23226
-0.629382, -7.84828, 0.424674
-0.471711, -7.68771, 0.376999
-0.932438, -8.17114, 0.480545
-1.10586, -8.25451, 0.196894
-0.436329, -7.64639, 0.350933
-2.27285, -9.13382, 0.1368
-1.95383, -9.25595, 0.59099
-0.599088, -7.81709, 0.417451
-0.461628, -7.67267, 0.298276
-0.770294, -7.99647, 0.453441
-1.05623, -8.30371, 0.498234
-2.29049, -9.20294, 0.133404
-2.02446, -9.35821, 0.598841
-0.410333, -7.64932, 0.313227
-0.428024, -7.64569, 0.316785
-2.15141, -9.46793, 0.606961
-0.513728, -7.75116, 0.399819
-1.41816, -8.5168, 0.174549
-1.83891, -9.15564, 0.583001
-0.449714, -7.68512, 0.292578
-0.645981, -7.85184, 0.249032
-1.25868, -8.38589, 0.185021
-4.19801, -10.4325, 0.088714
-1.94003, -8.93457, 0.147376
-1.36042, -8.46892, 0.178243
-0.943797, -8.11342, 0.211693
-0.416528, -7.65616, 0.359458
-0.728601, -7.92165, 0.237174
-0.427997, -7.66543, 0.302097
-5.42545, -12.8992, 0.773226
-1.50957, -8.7795, 0.550008
-0.765201, -7.96054, 0.231308
-1.57363, -8.64424, 0.165382
-1.19668, -8.33225, 0.189682
-1.91086, -8.91184, 0.148665
-0.456818, -7.66801, 0.300681
-1.60523, -8.66983, 0.163646
-3.33121, -9.86913, 0.106158
-0.435172, -7.65159, 0.355864
-2.52878, -9.39093, 0.124785
-0.548209, -7.76179, 0.402946
-0.737252, -7.96018, 0.44704
-0.400012, -7.64016, 0.341948
-0.532416, -7.74893, 0.399144
-0.444366, -7.65415, 0.309314
-0.42822, -7.63822, 0.334719
-0.616773, -7.81918, 0.255355
-0.673255, -7.9097, 0.437515
-0.428316, -7.63832, 0.330994
-0.904645, -8.14294, 0.476507
-0.701535, -7.90245, 0.240246
-1.90668, -8.91338, 0.148577
-0.484946, -7.7168, 0.280986
-0.546769, -7.78378, 0.409029
-2.52878, -9.39093, 0.124785
-0.567515, -7.7793, 0.26403
-1.10947, -8.25702, 0.196651
-0.410514, -7.65034, 0.354775
-0.61207, -7.81375, 0.256469
-0.68799, -7.89462, 0.241538
-0.98838, -8.23023, 0.488676
-0.451861, -7.66797, 0.367069
-0.413874, -7.65256, 0.31053
-0.48771, -7.69776, 0.287563
-0.579069, -7.80012, 0.25935
-0.413874, -7.65256, 0.31053
-0.979817, -8.22123, 0.487465
-1.00077, -8.16341, 0.206159
-0.560024, -7.7834, 0.263079
-0.499697, -7.71137, 0.386603
-0.420925, -7.63817, 0.333665
-0.461144, -7.67053, 0.299358
-1.80621, -9.11993, 0.580084
-0.503149, -7.71251, 0.282385
-0.430889, -7.64269, 0.320477
-0.426588, -7.63844, 0.33651
-1.80811, -9.11848, 0.579964
-1.27372, -8.53947, 0.525706
-1.23578, -8.36673, 0.186659
-1.6218, -8.91586, 0.562587
-0.398536, -7.63858, 0.329454
-1.43462, -8.5314, 0.173451
-1.77576, -9.08669, 0.577332
-1.6151, -8.67776, 0.163114
-1.52078, -8.7915, 0.551148
-0.431787, -7.64831, 0.35289
-5.47162, -11.2093, 0.0701715
-0.64801, -7.86015, 0.247512
-0.426736, -7.63859, 0.337282
-0.894102, -8.13226, 0.474947
-0.421642, -7.63909, 0.327512
-2.06201, -9.37202, 0.59988
-2.87312, -9.55793, 0.117793
-1.54556, -8.81805, 0.553645
-0.664645, -7.8689, 0.245946
-0.949939, -8.18897, 0.483044
-0.925105, -8.10116, 0.213105
-1.2514, -8.50355, 0.521784
-0.67594, -7.89643, 0.434871
-0.558129, -7.7645, 0.267593
-0.714849, -7.93685, 0.442735
-2.13637, -9.45181, 0.605786
-1.42687, -8.52554, 0.173891
-0.480027, -7.71804, 0.389025
-0.428173, -7.63818, 0.332895
-0.904645, -8.14294, 0.476507
-0.732569, -7.92524, 0.236612
-0.564319, -7.78718, 0.262217
-0.428825, -7.64068, 0.343023
-1.80241, -8.8268, 0.153656
-0.437208, -7.64912, 0.353668
-0.424543, -7.64215, 0.321275
-0.596839, -7.81272, 0.416392
-1.0653, -8.30559, 0.498471
-0.871829, -8.10532, 0.47094
-0.450349, -7.66064, 0.362573
-0.430082, -7.64009, 0.341802
-0.664221, -7.86293, 0.247011
-1.16114, -8.3039, 0.192246
-0.99786, -8.15472, 0.207096
-0.409765, -7.6488, 0.313695
-0.400945, -7.64107, 0.343744
-0.668168, -7.88838, 0.433234
-0.613468, -7.82194, 0.254798
-0.403606, -7.64365, 0.347677
-1.03016, -8.1812, 0.204272
-0.615726, -7.81715, 0.25577
-0.490036, -7.70608, 0.384603
-0.536233, -7.75082, 0.399715
-1.95383, -9.25595, 0.59099
-0.672924, -7.87005, 0.245744
-1.90668, -8.91338, 0.148577
-0.490774, -7.72859, 0.392663
-1.1597, -8.30071, 0.192539
-1.44242, -8.51047, 0.175029
-0.655152, -7.8916, 0.433891
-0.594901, -7.79887, 0.259621
-1.29931, -8.41975, 0.182196
-1.28653, -8.5534, 0.527204
-1.26199, -8.50731, 0.522199
-0.592262, -7.80232, 0.258877
-0.428259, -7.63826, 0.331505
-0.514291, -7.72166, 0.279447
-0.930612, -8.10185, 0.213026
-0.649557, -7.86936, 0.429263
-2.31946, -9.67441, 0.621474
-0.514053, -7.72784, 0.392412
-0.421818, -7.63889, 0.338501
-1.31391, -8.43012, 0.181348
-0.692077, -7.88763, 0.242709
-1.27471, -8.39835, 0.183971
-0.961178, -8.12451, 0.210434
-0.638462, -7.85188, 0.249024
-0.551304, -7.75809, 0.269209
-1.28592, -8.54037, 0.525803
-1.05214, -8.29163, 0.4967
-0.585405, -7.80567, 0.258161
-0.440327, -7.65045, 0.354873
-1.45418, -8.70444, 0.542732
-0.710801, -7.94733, 0.444688
-1.2676, -8.52082, 0.52368
-0.481149, -7.69715, 0.381053
-0.421109, -7.63829, 0.335458
-0.436775, -7.65444, 0.309101
-0.908011, -8.13924, 0.475968
-0.493078, -7.73085, 0.393417
-0.427934, -7.63979, 0.341104
-0.751936, -7.9776, 0.450154
-1.04488, -8.29099, 0.496619
-0.485845, -7.72375, 0.391021
-0.471711, -7.68771, 0.376999
-0.651096, -7.85652, 0.248171
-0.628961, -7.84785, 0.424577
-0.841042, -8.07855, 0.466841
-0.555195, -7.77213, 0.405866
-0.431041, -7.64284, 0.320268
-0.557159, -7.77114, 0.405591
-0.398087, -7.6382, 0.332313
-1.40035, -8.50207, 0.17567
-0.480777, -7.69112, 0.290121
-0.440391, -7.65668, 0.359843
-1.80567, -8.82937, 0.153501
-0.952231, -8.1209, 0.210842
-0.410514, -7.65034, 0.354775
-3.12573, -9.73078, 0.111125
-0.435285, -7.6517, 0.355957
-0.475435, -7.68634, 0.376382
-2.16722, -9.11656, 0.137668
-2.16722, -9.11656, 0.137668
-0.456477, -7.67254, 0.369601
-0.761764, -7.95109, 0.232693
-1.44242, -8.51047, 0.175029
-0.479031, -7.68784, 0.291442
-0.432062, -7.64975, 0.312847
-0.432729, -7.64276, 0.346449
-0.455737, -7.66614, 0.366003
-0.473588, -7.68617, 0.376305
-2.03341, -9.36799, 0.599577
-0.735473, -7.95937, 0.446892
-0.428924, -7.6466, 0.315824
-0.427538, -7.63939, 0.340083
-1.50752, -8.59086, 0.169112
-0.629777, -7.83121, 0.252955
-0.695241, -7.89131, 0.24209
-0.536145, -7.74989, 0.271347
-0.879893, -8.05713, 0.218384
-0.536145, -7.74989, 0.271347
-0.527341, -7.76459, 0.403746
-0.709772, -7.93157, 0.441738
-1.40242, -8.67758, 0.540061
-0.95049, -8.11928, 0.211025
-0.582158, -7.78581, 0.262528
-0.482343, -7.69515, 0.380223
-0.875362, -8.10486, 0.47087
-1.70829, -8.75296, 0.158221
-0.420984, -7.6382, 0.33445
-0.436569, -7.65295, 0.35699
-1.84355, -8.85917, 0.151724
-0.504183, -7.71964, 0.28008
-1.0063, -8.24979, 0.491276
-1.58704, -8.88072, 0.55942
-1.72129, -8.7626, 0.157612
-0.464377, -7.67367, 0.297782
-0.57747, -7.78262, 0.263259
-0.428519, -7.63852, 0.336945
-1.61679, -8.91317, 0.562347
-2.02446, -9.35821, 0.598841
-1.38866, -8.63717, 0.535972
-0.793139, -8.02139, 0.457656
-0.621507, -7.82252, 0.25468
-1.37915, -8.48448, 0.177026
-0.613672, -7.82213, 0.25476
-0.883937, -8.06071, 0.217943
-4.86755, -12.4037, 0.756006
-0.433386, -7.64335, 0.319584
-1.78611, -9.04575, 0.573891
-0.912353, -8.08575, 0.214916
-0.43299, -7.65068, 0.312053
-0.449346, -7.66142, 0.363084
-1.85091, -8.82302, 0.153884
-1.33567, -8.60683, 0.532843
-1.84355, -8.85917, 0.151724
-1.07745, -8.32666, 0.501108
-4.16432, -10.4112, 0.0893038
-1.01426, -8.17489, 0.204936
-2.17695, -9.06417, 0.140357
-0.944978, -8.17824, 0.481544
-0.404233, -7.64426, 0.348457
-1.18524, -8.32425, 0.190398
-0.496267, -7.72692, 0.277838
-2.01056, -9.27675, 0.59261
-0.604613, -7.82215, 0.418663
-0.69994, -7.90487, 0.239851
-1.34847, -8.46052, 0.178906
-0.856293, -8.08843, 0.468368
-1.93272, -8.92888, 0.147697
-0.41052, -7.64949, 0.313075
-2.05295, -9.02196, 0.142584
-0.42915, -7.63915, 0.339387
-0.567237, -7.78444, 0.409202
-0.552718, -7.75942, 0.268871
-0.427934, -7.63979, 0.341104
-0.422244, -7.63927, 0.339724
-0.460842, -7.67313, 0.369916
-1.74706, -9.05207, 0.574426
-0.433842, -7.6503, 0.354741
-0.416246, -7.65588, 0.359256
-0.595433, -7.79823, 0.259761
-1.65011, -8.70835, 0.161092
-0.601071, -7.81913, 0.417941
-0.41723, -7.65562, 0.308251
-0.515741, -7.75315, 0.400413
-0.553224, -7.75989, 0.26875
-0.609431, -7.8272, 0.419855
-0.796779, -7.98311, 0.228097
-0.603039, -7.80533, 0.258234
-0.440782, -7.6797, 0.373257
-0.676003, -7.87373, 0.245098
-0.428257, -7.63826, 0.335154
-4.79049, -10.9415, 0.0759753
-1.85893, -8.87561, 0.150758
-0.465971, -7.68198, 0.374355
-1.91086, -8.91184, 0.148665
-0.481248, -7.69772, 0.287579
-0.434991, -7.64493, 0.317636
-0.584678, -7.78935, 0.261727
-0.934266, -8.10505, 0.212654
-0.459225, -7.67034, 0.299454
-1.01863, -8.17868, 0.204537
-2.42578, -9.31362, 0.128227
-0.668168, -7.88838, 0.433234
-0.623809, -7.86031, 0.427319
-0.796779, -7.98311, 0.228097
-0.779801, -7.96739, 0.23032
-0.429891, -7.6399, 0.341366
-1.79986, -8.78463, 0.156235
-0.560024, -7.7834, 0.263079
-0.423879, -7.64146, 0.322359
-1.84355, -8.85917, 0.151724
-0.398087, -7.6382, 0.332313
-0.864064, -8.04383, 0.220048
-0.824734, -8.00812, 0.224684
-0.427897, -7.66718, 0.36661
-0.470022, -7.68691, 0.291828
-1.07273, -8.22872, 0.19942
-0.610423, -7.8133, 0.256562
-1.08659, -8.33592, 0.502254
-3.04095, -9.67312, 0.11329
-1.47716, -8.56616, 0.17089
-0.435029, -7.64676, 0.315658
-3.11823, -9.82144, 0.107835
-0.550861, -7.75767, 0.269316
-0.448104, -7.68366, 0.2932
-1.39138, -8.49464, 0.176241
-1.45882, -8.52327, 0.174061
-0.744534, -7.93547, 0.235037
-0.611156, -7.82777, 0.419989
-0.420982, -7.6382, 0.334433
-0.826947, -8.01482, 0.223794
-0.437284, -7.64719, 0.315225
-0.618858, -7.82006, 0.255177
-2.41002, -9.74512, 0.626234
-0.706884, -7.92856, 0.441167
-1.68634, -8.98907, 0.569034
-1.70253, -8.74834, 0.158514
-0.483703, -7.69655, 0.380804
-0.398116, -7.63822, 0.331969
-0.442585, -7.68146, 0.374105
-2.79206, -10.1938, 0.654276
-0.72607, -7.91868, 0.23764
-0.463441, -7.67276, 0.29823
-1.90668, -8.91338, 0.148577
-0.661011, -7.85908, 0.247705
-0.806005, -8.03509, 0.459916
-0.458035, -7.6675, 0.300954
-0.439328, -7.65126, 0.355587
-0.698001, -7.91955, 0.439437
-0.525819, -7.74223, 0.397079
-0.838623, -8.06625, 0.464917
-0.487898, -7.7041, 0.285264
-0.531484, -7.74436, 0.397742
-0.440009, -7.64988, 0.312737
-0.419593, -7.65778, 0.30677
-0.398059, -7.63818, 0.332769
-0.438167, -7.65451, 0.358219
-6.3999, -13.8759, 0.803052
-1.23915, -8.36732, 0.186608
-0.6517, -7.85707, 0.24807
-0.4269, -7.63875, 0.328708
-1.97686, -8.96553, 0.145649
-0.802802, -7.9881, 0.227404
-1.04662, -8.20634, 0.201671
-0.453451, -7.67083, 0.299202
-2.53932, -9.39433, 0.124637
-1.915, -9.23872, 0.589639
-1.69077, -8.73831, 0.159154
-0.440776, -7.6509, 0.355273
-1.31372, -8.42996, 0.181361
-0.435985, -7.64591, 0.316547
-0.443871, -7.65367, 0.309677
-0.767808, -7.99207, 0.452684
-0.410226, -7.64922, 0.313314
-0.459247, -7.67151, 0.369042
-0.527437, -7.76468, 0.403774
-0.641089, -7.85932, 0.427104
-1.05214, -8.29163, 0.4967
-1.61065, -8.67428, 0.163347
-2.73348, -9.53089, 0.118887
-0.777043, -7.96539, 0.230607
-0.423257, -7.64019, 0.34202
-0.701632, -7.92341, 0.44018
-0.571518, -7.8083, 0.415309
-0.420917, -7.63823, 0.331889
-0.42904, -7.63904, 0.327678
-2.07217, -9.41029, 0.602733
-0.599088, -7.81709, 0.417451
-0.575594, -7.7918, 0.411135
-2.74414, -9.53864, 0.118572
-1.06047, -8.21532, 0.200762
-0.5705, -7.80729, 0.415059
-1.0063, -8.24979, 0.491276
-1.71088, -8.71727, 0.160511
-0.521872, -7.73437, 0.39457
-1.24537, -8.35501, 0.187675
-0.614413, -7.82281, 0.254622
-1.40035, -8.67534, 0.539836
-1.65521, -8.95218, 0.565811
-0.446904, -7.66308, 0.364139
-0.434755, -7.65244, 0.310624
-1.50599, -8.59083, 0.169114
-0.77253, -7.96636, 0.230467
-0.406645, -7.64659, 0.351144
-0.515279, -7.75269, 0.400277
-0.43067, -7.64066, 0.323781
-0.420924, -7.63817, 0.333637
-0.405712, -7.64569, 0.350155
-0.424818, -7.66419, 0.364827
-5.33666, -11.1295, 0.0718427
-0.582814, -7.78642, 0.262389
-0.522649, -7.73902, 0.396065
-0.433411, -7.64518, 0.31736
-0.435908, -7.65231, 0.356463
-2.10845, -9.01406, 0.143006
-0.511451, -7.72041, 0.279837
-0.548463, -7.76353, 0.403444
-0.839359, -8.02313, 0.222703
-0.470951, -7.68695, 0.376657
-3.26461, -10.5612, 0.674871
-0.424077, -7.64166, 0.322024
-0.746428, -7.94296, 0.233904
-5.62125, -11.4705, 0.0650113
-1.26748, -8.53134, 0.524826
-0.799092, -7.98518, 0.227808
-1.4223, -8.52131, 0.174209
-2.69534, -9.50974, 0.119752
-1.76518, -8.7974, 0.155446
-0.551304, -7.75809, 0.269209
-0.432047, -7.67121, 0.368879
-4.81265, -10.9557, 0.0756547
-5.46743, -11.3448, 0.0674371
-0.511607, -7.7191, 0.280251
-0.625983, -7.84105, 0.251055
