# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_pm_model
# start_datetime = 2024-01-29 23:54:17 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 2000
#     num_paths = 4 (Default)
#     save_single_paths = 1
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 2000
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_data_1.json
# init = 2 (Default)
# random
#   seed = 12902867
# output
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_profile_1.log
#   save_cmdstan_config = 1
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-0.515148, -7.72711, 0.392166
-0.742494, -7.96672, 0.448217
-0.428518, -7.6382, 0.334352
-1.31225, -8.43015, 0.181346
-2.71902, -9.53288, 0.118806
-0.430009, -7.63969, 0.340876
-1.49517, -8.58223, 0.169729
-0.531533, -7.74415, 0.397675
-0.452911, -7.66294, 0.364053
-0.715594, -7.90901, 0.239183
-0.46167, -7.67191, 0.369258
-0.484592, -7.69293, 0.289407
-1.19862, -8.45812, 0.5167
-0.90175, -8.07635, 0.216039
-1.3331, -8.44764, 0.179933
-0.485865, -7.69679, 0.380904
-2.14863, -9.10283, 0.138365
-0.431047, -7.64071, 0.323675
-1.20216, -8.33706, 0.189254
-1.22415, -8.48584, 0.519819
-0.455364, -7.6646, 0.302565
-1.23087, -8.49314, 0.520632
-1.32513, -8.44096, 0.180469
-0.518182, -7.72512, 0.278382
-0.456427, -7.66654, 0.366235
-1.61899, -8.68349, 0.162732
-0.454514, -7.66377, 0.303043
-0.551352, -7.7566, 0.269592
-0.429831, -7.63951, 0.326324
-0.464303, -7.6733, 0.29796
-1.80599, -9.12031, 0.580115
-2.88833, -9.65676, 0.113914
-2.00976, -9.34293, 0.597685
-0.53694, -7.74978, 0.399401
-0.573975, -7.77791, 0.264354
-0.498231, -7.70604, 0.284582
-1.23118, -8.49348, 0.52067
-2.44044, -9.32539, 0.127694
-0.477825, -7.6885, 0.377354
-0.446168, -7.65607, 0.359392
-0.428494, -7.63817, 0.333719
-0.81389, -8.04295, 0.461195
-0.507037, -7.71448, 0.281739
-1.18695, -8.32411, 0.190411
-0.881287, -8.0582, 0.218253
-1.18979, -8.44853, 0.51561
-2.11841, -9.46159, 0.606499
-1.13473, -8.3888, 0.508654
-0.548028, -7.75346, 0.270407
-0.814772, -8.04389, 0.461348
-5.89642, -13.4661, 0.791149
-0.439522, -7.64909, 0.313435
-1.02762, -8.27287, 0.494291
-0.945736, -8.18453, 0.482426
-0.867838, -8.10077, 0.470251
-0.428503, -7.63818, 0.332647
-0.792173, -7.97846, 0.228748
-3.06588, -10.4916, 0.671116
-0.431675, -7.64134, 0.322562
-1.1286, -8.27417, 0.195015
-0.701173, -7.89582, 0.241337
-1.07601, -8.22884, 0.199408
-0.692596, -7.88797, 0.242652
-0.663279, -7.86101, 0.247356
-0.438674, -7.64825, 0.314204
-1.10686, -8.35861, 0.505029
-0.769101, -7.99508, 0.453203
-1.47611, -8.56653, 0.170863
-0.590192, -7.79312, 0.260883
-0.453517, -7.6628, 0.303614
-0.533775, -7.74648, 0.398396
-0.934313, -8.10513, 0.212645
-0.567382, -7.77171, 0.265829
-0.656707, -7.85495, 0.248458
-0.583947, -7.79895, 0.41297
-0.534675, -7.74081, 0.273817
-0.42981, -7.63949, 0.326379
-0.641344, -7.84075, 0.251113
-1.03241, -8.19103, 0.203246
-0.449003, -7.65839, 0.306363
-0.439616, -7.64918, 0.313352
-0.47588, -7.68452, 0.292833
-0.428788, -7.63847, 0.330018
-1.01655, -8.17722, 0.20469
-0.689928, -7.88552, 0.243067
-0.992762, -8.23524, 0.489345
-0.448376, -7.65832, 0.361
-0.53971, -7.75267, 0.40027
-0.550829, -7.7561, 0.26972
-0.610386, -7.82675, 0.419748
-0.748315, -7.9388, 0.234532
-2.48715, -9.36051, 0.126123
-1.13623, -8.39043, 0.508847
-0.568166, -7.78241, 0.408663
-0.556307, -7.77, 0.405273
-0.541956, -7.75501, 0.400967
-0.643116, -7.84239, 0.250801
-1.23124, -8.49354, 0.520676
-1.61633, -8.68133, 0.162876
-0.428534, -7.63821, 0.33206
-0.808344, -7.99301, 0.226728
-0.676233, -7.89631, 0.434845
-0.603411, -7.81941, 0.418008
-0.552308, -7.76582, 0.404097
-1.21761, -8.3502, 0.188096
-0.78099, -8.00778, 0.455371
-0.798569, -8.02656, 0.458514
-0.703463, -7.9252, 0.440524
-0.752454, -7.97733, 0.450106
-0.661194, -7.88038, 0.431583
-0.641727, -7.8411, 0.251046
-0.450041, -7.66001, 0.362156
-0.774125, -8.00045, 0.454124
-0.601138, -7.80336, 0.258654
-0.489964, -7.70102, 0.382622
-0.856975, -8.08912, 0.468473
-0.621437, -7.82227, 0.25473
-1.73576, -9.04358, 0.573708
