# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_pf_model
# start_datetime = 2024-01-29 23:52:33 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 2000
#     num_paths = 4 (Default)
#     save_single_paths = 1
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 2000
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_data_1.json
# init = 2 (Default)
# random
#   seed = 10642823
# output
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_profile_1.log
#   save_cmdstan_config = 1
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-0.421413, -7.63953, 0.326258
-1.41993, -8.51307, 0.174831
-1.37583, -8.47697, 0.177611
-0.449229, -7.66735, 0.36671
-0.423203, -7.64132, 0.344192
-0.458502, -7.6767, 0.371763
-1.31316, -8.42536, 0.181736
-1.07247, -8.22357, 0.199933
-0.559258, -7.76981, 0.26629
-0.437388, -7.65546, 0.358945
-0.490007, -7.70863, 0.385577
-0.622061, -7.84444, 0.423814
-0.521926, -7.73509, 0.275433
-0.430062, -7.64814, 0.35273
-0.932315, -8.17, 0.480384
-0.49005, -7.70867, 0.385593
-0.42243, -7.64055, 0.342774
-0.493831, -7.71252, 0.387029
-0.448505, -7.66569, 0.301949
-0.420062, -7.63821, 0.334581
-2.5636, -9.39706, 0.124518
-1.01201, -8.17192, 0.20525
-0.422715, -7.6408, 0.32351
-1.66373, -8.95145, 0.565746
-1.32836, -8.43791, 0.180716
-1.4439, -8.53262, 0.173361
-0.448235, -7.66635, 0.366126
-0.487751, -7.70634, 0.384703
-1.31327, -8.42545, 0.181729
-0.817318, -8.0486, 0.462107
-0.694474, -7.9198, 0.439484
-0.691389, -7.91658, 0.43886
-0.567073, -7.77704, 0.264561
-0.674428, -7.8751, 0.244858
-0.74423, -7.93779, 0.234685
-0.477164, -7.69299, 0.289384
-0.559973, -7.77047, 0.266129
-1.45023, -8.72239, 0.544496
-2.36509, -9.70446, 0.623509
-0.592901, -7.80083, 0.259197
-0.42002, -7.63817, 0.333309
-0.823994, -8.00852, 0.22463
-0.975934, -8.21621, 0.486785
-5.29264, -11.2236, 0.0698764
-0.496275, -7.71501, 0.387938
-0.451378, -7.66845, 0.300447
-0.420104, -7.63825, 0.335089
-0.441779, -7.65987, 0.362057
-0.544738, -7.7646, 0.403751
-1.72269, -9.01476, 0.57125
-1.45507, -8.54171, 0.172684
-0.97883, -8.1434, 0.208331
-0.425356, -7.64337, 0.319552
-0.536745, -7.7564, 0.401375
-0.557783, -7.76844, 0.266623
-1.58614, -8.86816, 0.558275
-0.895464, -8.07116, 0.216666
-0.566541, -7.78704, 0.40989
-0.433045, -7.65112, 0.355463
-1.31543, -8.57802, 0.529824
-0.713032, -7.93918, 0.443173
-0.439449, -7.657, 0.307294
-3.06685, -9.75972, 0.11006
-0.521898, -7.74118, 0.396749
-0.42978, -7.64786, 0.352452
-1.10346, -8.24989, 0.197341
-0.421673, -7.63979, 0.325628
-0.913193, -8.08659, 0.214816
-0.58375, -7.79242, 0.26104
-0.676347, -7.87684, 0.244557
-0.568619, -7.78918, 0.410452
-0.424084, -7.64219, 0.345615
-0.848026, -8.08095, 0.467213
-1.17058, -8.42327, 0.512701
-1.35289, -8.61811, 0.534012
-0.44509, -7.66242, 0.303841
-0.584605, -7.80567, 0.414657
-0.636428, -7.84063, 0.251134
-1.85895, -8.86356, 0.151465
-0.483475, -7.70199, 0.383007
-1.26418, -8.38476, 0.185116
-0.758601, -7.9506, 0.232765
-0.924175, -8.16139, 0.479161
-0.420162, -7.63831, 0.335616
-0.872982, -8.10728, 0.471234
-0.431592, -7.64967, 0.354175
-0.426405, -7.64439, 0.318271
-0.423831, -7.64194, 0.345224
-0.5014, -7.72024, 0.3898
-0.878962, -8.05676, 0.218431
-0.526157, -7.73904, 0.27431
-0.937693, -8.10786, 0.21233
-0.883384, -8.06062, 0.217954
-1.07469, -8.32111, 0.500418
-0.952763, -8.1209, 0.210841
-0.704783, -7.90246, 0.240245
-0.698344, -7.92384, 0.440263
-2.25764, -9.58923, 0.615602
-5.28811, -11.2208, 0.0699337
-0.460386, -7.6786, 0.372715
-2.96458, -10.3451, 0.66299
-0.420736, -7.63887, 0.328255
-0.630532, -7.83526, 0.252166
-0.429899, -7.64798, 0.352569
-1.01237, -8.25487, 0.491944
-0.956029, -8.19511, 0.483896
-0.446323, -7.6636, 0.303143
-0.498325, -7.7171, 0.38869
-0.60445, -7.81143, 0.256951
-0.451712, -7.66877, 0.300277
-0.876192, -8.11067, 0.471744
-0.421492, -7.63961, 0.326062
-0.449473, -7.6676, 0.366852
-3.006, -9.7166, 0.111652
-0.528213, -7.74765, 0.398753
-0.509325, -7.7233, 0.278941
-0.442248, -7.65969, 0.305523
-0.590977, -7.79906, 0.25958
-2.48385, -9.83171, 0.631926
-0.446506, -7.66461, 0.365084
-0.434208, -7.65228, 0.356444
-0.42266, -7.64075, 0.32361
-1.01854, -8.26143, 0.492803
-0.867241, -8.10122, 0.470319
-1.79837, -8.8161, 0.154303
-0.720024, -7.94649, 0.444533
-0.812514, -8.04354, 0.461291
-0.428716, -7.64663, 0.315791
-0.597403, -7.80497, 0.258311
-0.59623, -7.81769, 0.417595
-0.472049, -7.68814, 0.291321
-0.473845, -7.69222, 0.378977
-0.815771, -8.00127, 0.225604
-0.48399, -7.69945, 0.28694
-1.87841, -9.18204, 0.585132
-0.464926, -7.68319, 0.374925
-1.14597, -8.39703, 0.509629
-0.76993, -7.96068, 0.231288
-0.433874, -7.65162, 0.311272
-1.67354, -8.96198, 0.566672
-0.544182, -7.75583, 0.269791
-0.453063, -7.67006, 0.2996
-0.420023, -7.63817, 0.333662
-4.23612, -10.554, 0.0854459
-0.462274, -7.67885, 0.295333
-0.727378, -7.95419, 0.445949
-2.4655, -9.81206, 0.630647
-2.29421, -9.19691, 0.133696
-0.421927, -7.64003, 0.325062
-0.701745, -7.92739, 0.440943
-0.633712, -7.85653, 0.426495
-0.544075, -7.76392, 0.403557
-0.475064, -7.691, 0.290167
-0.668115, -7.89231, 0.434036
-0.583369, -7.8044, 0.414339
-0.437118, -7.65519, 0.358741
-1.08306, -8.33002, 0.501525
-0.431821, -7.64964, 0.312944
-0.475008, -7.69095, 0.290188
-1.07039, -8.31654, 0.499846
-0.437907, -7.65598, 0.359332
-1.21648, -8.345, 0.188552
-0.516788, -7.73595, 0.395084
-1.40191, -8.67061, 0.539361
-1.44741, -8.71936, 0.5442
-0.491258, -7.70631, 0.284489
-1.2454, -8.36913, 0.186451
-0.965074, -8.2047, 0.485215
-0.497588, -7.71635, 0.388421
-0.520376, -7.73364, 0.275851
-4.01864, -11.4578, 0.718257
-0.420689, -7.63882, 0.328426
