# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_pm_model
# start_datetime = 2024-01-30 16:42:18 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 4000
#     num_paths = 4 (Default)
#     save_single_paths = 0 (Default)
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 4000
#     num_elbo_draws = 25 (Default)
# id = 4
# data
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_data_4.json
# init = 2 (Default)
# random
#   seed = 1995513073
# output
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_profile_4.log
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-0.714421, -7.90806, 0.239335
-0.398758, -7.63877, 0.328613
-0.417657, -7.65725, 0.360249
-2.30468, -9.22094, 0.132542
-1.29416, -8.41446, 0.182631
-2.94997, -9.74172, 0.110721
-0.464083, -7.67378, 0.297728
-0.431653, -7.64167, 0.344786
-0.704413, -7.89892, 0.240825
-0.403901, -7.64393, 0.348049
-0.563997, -7.77863, 0.407645
-2.26989, -9.19443, 0.133816
-0.731765, -7.93209, 0.235554
-7.24449, -12.2088, 0.0526541
-0.761764, -7.95109, 0.232693
-1.26732, -8.40017, 0.183819
-0.450439, -7.6601, 0.305267
-0.782734, -7.97015, 0.229925
-0.513229, -7.71302, 0.38721
-0.444104, -7.64027, 0.324563
-0.60819, -7.84475, 0.423883
-1.27336, -8.53875, 0.525628
-0.599075, -7.80504, 0.4145
-1.94887, -9.2757, 0.592529
-0.439244, -7.64935, 0.353878
-1.96598, -8.96006, 0.145952
-0.683001, -7.87931, 0.24413
-0.430443, -7.64045, 0.342572
-0.449648, -7.66036, 0.362385
-0.452424, -7.66276, 0.363937
-0.69264, -7.89861, 0.240877
-1.64361, -8.70309, 0.161437
-0.430837, -7.64085, 0.343346
-0.851896, -8.03212, 0.221538
-0.658318, -7.86918, 0.429225
-0.830581, -8.06089, 0.464069
-0.428857, -7.63886, 0.328303
-3.98557, -10.2973, 0.09254
-0.438069, -7.64797, 0.314473
-0.536595, -7.75004, 0.399481
-0.816215, -8.00367, 0.225281
-0.445667, -7.65584, 0.308093
-0.851751, -8.02995, 0.221818
-0.430827, -7.64084, 0.343327
-1.89025, -9.24083, 0.589805
-0.468896, -7.66613, 0.365995
-1.21938, -8.35849, 0.187372
-0.513998, -7.72619, 0.391855
-0.429364, -7.63937, 0.340019
-0.616525, -7.81789, 0.255618
-0.74009, -7.92653, 0.236412
-0.805352, -8.0425, 0.461122
-1.91509, -9.23787, 0.589572
-0.531424, -7.75816, 0.269191
-1.39932, -8.67566, 0.539868
-0.50463, -7.70388, 0.383751
-0.734378, -7.97101, 0.448986
-0.443133, -7.63927, 0.339723
-0.586223, -7.78047, 0.263758
-0.45448, -7.66486, 0.365233
-3.40283, -10.0226, 0.10099
-0.442392, -7.67849, 0.295494
-0.441383, -7.65152, 0.355803
-0.991958, -8.23432, 0.489223
-0.450446, -7.66051, 0.305004
-2.43897, -9.32356, 0.127777
-1.94887, -9.2757, 0.592529
-0.579654, -7.79501, 0.411963
-0.781248, -8.00815, 0.455435
-1.11695, -8.26859, 0.195544
-1.13124, -8.27632, 0.194811
-0.445723, -7.65593, 0.35929
-1.95421, -8.9501, 0.146505
-1.76884, -8.82282, 0.153896
-0.936381, -8.17514, 0.481109
-0.637919, -7.85624, 0.426433
-0.663632, -7.86171, 0.24723
-0.909245, -8.14434, 0.47671
-1.08262, -8.32396, 0.500773
-0.651991, -7.87109, 0.429632
-0.716487, -7.91012, 0.239004
-0.795475, -8.01902, 0.457261
-0.438411, -7.64873, 0.313761
-0.62516, -7.86165, 0.42761
-0.934755, -8.10266, 0.212931
-0.485809, -7.69743, 0.381167
-0.401728, -7.64146, 0.322357
-2.89604, -9.66144, 0.113735
-0.590574, -7.79587, 0.412185
-0.54577, -7.77084, 0.26604
-0.588312, -7.80822, 0.257623
-0.972939, -8.13421, 0.209348
-1.4159, -8.66513, 0.53881
-0.444702, -7.64088, 0.323372
-0.87294, -8.11082, 0.471767
-0.453287, -7.66328, 0.303329
-2.1633, -9.05421, 0.140878
-0.524579, -7.73755, 0.395597
-1.46504, -8.71558, 0.543829
-1.07464, -8.22758, 0.199533
-4.16432, -10.4112, 0.0893038
-1.32723, -8.44251, 0.180345
-2.46147, -9.37296, 0.125573
-0.935417, -8.17342, 0.480867
-2.59799, -9.44251, 0.122563
-0.47192, -7.68273, 0.37471
-0.466938, -7.67615, 0.296586
-1.27979, -8.40263, 0.183613
-0.447843, -7.64414, 0.348305
-0.784008, -8.01124, 0.455956
-1.80954, -9.12272, 0.580313
-0.754335, -7.99108, 0.452512
-0.480812, -7.71881, 0.389298
-0.603463, -7.80978, 0.415672
-1.03647, -8.28226, 0.495501
-0.957959, -8.19822, 0.484325
-0.530424, -7.74326, 0.3974
-0.477789, -7.68917, 0.377651
-1.79001, -9.04976, 0.574231
-1.84227, -8.86239, 0.151534
-3.25976, -9.92199, 0.104339
-1.15284, -8.29483, 0.193081
-0.567549, -7.78201, 0.408555
-0.590574, -7.79587, 0.412185
-0.564993, -7.75992, 0.268743
-0.617991, -7.81101, 0.257037
-0.915902, -8.08703, 0.214764
-0.510804, -7.72288, 0.39072
-0.580087, -7.77454, 0.265152
-0.555626, -7.76954, 0.405144
-1.94028, -9.26535, 0.591723
-0.467616, -7.66479, 0.36519
-0.796878, -8.02484, 0.45823
-0.56483, -7.77916, 0.40779
-0.789533, -7.97257, 0.22958
-0.682769, -7.89577, 0.434737
-0.640024, -7.83207, 0.252787
-2.16341, -9.54732, 0.612655
-0.47233, -7.68356, 0.375102
-0.526508, -7.75381, 0.270315
-1.36127, -8.63469, 0.535717
-3.26814, -10.7083, 0.682607
-3.44697, -10.1029, 0.0984185
-0.477488, -7.71012, 0.283186
-1.24657, -8.51932, 0.523516
-0.72036, -7.91365, 0.238439
-0.512533, -7.72505, 0.391468
-0.446057, -7.64229, 0.345754
-0.432382, -7.64241, 0.345937
-0.954062, -8.19349, 0.48367
-0.56265, -7.76584, 0.404103
-0.695977, -7.93246, 0.441908
-0.466388, -7.6635, 0.364399
-0.461921, -7.65831, 0.306416
-3.04914, -9.81486, 0.108069
-0.40529, -7.64471, 0.317894
-0.482682, -7.69174, 0.289873
-0.445016, -7.68087, 0.294421
-0.427942, -7.63838, 0.330516
-1.70606, -8.77115, 0.157075
-5.47162, -11.2093, 0.0701715
-0.85766, -8.08742, 0.468212
-2.25017, -9.17936, 0.134548
-0.594619, -7.78856, 0.261904
-0.39978, -7.63993, 0.341437
-1.35962, -8.4696, 0.178189
-0.670232, -7.88213, 0.431946
-2.31878, -9.72145, 0.624652
-1.29288, -8.53895, 0.52565
-0.831689, -8.0691, 0.465364
-0.568505, -7.77213, 0.405865
-0.854263, -8.08633, 0.468044
-0.475181, -7.68451, 0.292836
-0.407829, -7.64703, 0.315387
-1.30547, -8.58514, 0.530574
-0.436588, -7.64694, 0.315484
-0.44052, -7.65038, 0.312306
-0.810697, -8.04789, 0.461993
-0.456822, -7.69534, 0.3803
-1.00813, -8.24807, 0.491049
-0.717416, -7.94037, 0.443394
-1.4075, -8.68455, 0.540757
-0.497341, -7.69364, 0.289129
-0.428297, -7.6383, 0.335525
-1.45787, -8.55119, 0.171984
-0.43891, -7.64879, 0.313701
-0.498941, -7.69523, 0.28852
-0.632769, -7.83297, 0.252611
-1.5191, -8.80662, 0.552573
-1.76041, -8.8159, 0.154315
-0.624152, -7.83946, 0.251358
-0.456935, -7.66684, 0.301317
-0.419479, -7.65767, 0.306839
-0.40789, -7.64709, 0.315331
