# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_pf_model
# start_datetime = 2024-01-29 23:52:33 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 2000
#     num_paths = 4 (Default)
#     save_single_paths = 1
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 2000
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_data_1.json
# init = 2 (Default)
# random
#   seed = 10642823
# output
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pf_profile_1.log
#   save_cmdstan_config = 1
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-0.44616, -7.66001, 0.362155
-1.05444, -8.3009, 0.497878
-0.449608, -7.66351, 0.364404
-1.67226, -8.96788, 0.567188
-0.51942, -7.72937, 0.277105
-1.82842, -9.13711, 0.581492
-0.970455, -8.21092, 0.486065
-1.7508, -8.78441, 0.156249
-1.66085, -8.71251, 0.16082
-1.01759, -8.17738, 0.204673
-0.650455, -7.87144, 0.429706
-0.693163, -7.89013, 0.242288
-0.510111, -7.72539, 0.391585
-1.68505, -8.73191, 0.159564
-0.52916, -7.74505, 0.397955
-1.10436, -8.35449, 0.504528
-0.494132, -7.7054, 0.284806
-0.515555, -7.72571, 0.278201
-2.33584, -9.68672, 0.62231
-1.25888, -8.52083, 0.523681
-1.22539, -8.35465, 0.187707
-1.2775, -8.54091, 0.525861
-0.822084, -8.05272, 0.462769
-1.47189, -8.5593, 0.17139
-1.07408, -8.22605, 0.199686
-3.06479, -10.4722, 0.670053
-0.875888, -8.05366, 0.218814
-0.793758, -7.98076, 0.228425
-0.431682, -7.6454, 0.349832
-0.945523, -8.11477, 0.211538
-0.650874, -7.87188, 0.429799
-0.424897, -7.63861, 0.337369
-0.796009, -7.98277, 0.228144
-1.43958, -8.5328, 0.173347
-0.468556, -7.68278, 0.374734
-0.452243, -7.66618, 0.366024
-1.65135, -8.94523, 0.565198
-1.61272, -8.67377, 0.163381
-0.758908, -7.98574, 0.451583
-0.424597, -7.6383, 0.331105
-0.46764, -7.68008, 0.294774
-0.644915, -7.86563, 0.428467
-0.831891, -8.06314, 0.464426
-0.629317, -7.84929, 0.424899
-0.425223, -7.63892, 0.328076
-3.24539, -9.89951, 0.105107
-0.476314, -7.69071, 0.378323
-0.671629, -7.89368, 0.434314
-1.03396, -8.27893, 0.495073
-2.19192, -9.53097, 0.611494
-1.04318, -8.28881, 0.496341
-0.653689, -7.87484, 0.430423
-0.864355, -8.04348, 0.220091
-0.502923, -7.71375, 0.281976
-0.424955, -7.63866, 0.329096
-0.889033, -8.06525, 0.217386
-0.455752, -7.66974, 0.36807
-0.457564, -7.67158, 0.369084
-0.501144, -7.71617, 0.388355
-5.6861, -11.4885, 0.0646741
-0.732667, -7.92591, 0.236509
-0.657361, -7.87869, 0.431231
-0.597252, -7.81578, 0.417135
-1.79239, -9.09805, 0.578276
-0.760383, -7.95087, 0.232726
-0.563964, -7.77118, 0.265958
-0.773977, -7.96306, 0.230942
-0.501282, -7.71631, 0.388406
-0.424696, -7.6384, 0.330411
-0.436924, -7.65068, 0.355079
-0.430075, -7.64369, 0.319143
-0.470994, -7.6833, 0.293356
-0.65924, -7.8592, 0.247684
-1.16812, -8.42305, 0.512675
-1.77788, -8.80592, 0.154923
-0.495753, -7.71063, 0.386326
-1.64962, -8.70349, 0.161411
-0.513102, -7.72848, 0.392627
-0.608045, -7.81213, 0.256805
-1.15165, -8.29228, 0.193318
-0.440403, -7.65377, 0.309601
-0.460899, -7.6736, 0.297815
-0.476142, -7.68823, 0.291283
-3.65151, -11.0984, 0.701895
-0.44015, -7.65393, 0.357773
-0.947736, -8.18663, 0.482718
-0.44116, -7.65495, 0.358561
-1.43659, -8.53034, 0.173531
-0.426129, -7.63981, 0.325563
-0.440931, -7.65472, 0.358384
-1.75217, -9.05446, 0.574628
-0.42457, -7.63828, 0.331335
-0.535387, -7.74441, 0.272823
-1.05969, -8.30652, 0.498588
-0.669514, -7.89146, 0.433862
-1.44083, -8.71734, 0.544002
-0.802277, -8.0317, 0.45936
-0.440368, -7.65415, 0.357946
-0.520798, -7.73067, 0.27672
-2.4204, -9.77817, 0.628424
-0.68333, -7.88118, 0.243807
-0.750722, -7.94218, 0.234021
-1.09938, -8.34914, 0.503876
-2.20543, -9.54559, 0.612532
-2.68809, -10.0671, 0.646708
-0.716536, -7.91133, 0.23881
-0.425296, -7.63899, 0.327828
-0.42657, -7.64028, 0.342211
-0.472448, -7.68675, 0.376569
