# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_pm_model
# start_datetime = 2024-01-30 16:42:18 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001000 (Default)
#     tol_obj = 0.000000
#     tol_rel_obj = 1000.000000
#     tol_grad = 0.000000 (Default)
#     tol_rel_grad = 10000000.000000 (Default)
#     tol_param = 0.000000 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 4000
#     num_paths = 4 (Default)
#     save_single_paths = 0 (Default)
#     psis_resample = 1 (Default)
#     calculate_lp = 1 (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 4000
#     num_elbo_draws = 25 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_data_2.json
# init = 2 (Default)
# random
#   seed = 1995513073
# output
#   file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /Users/rob/.julia/dev/StanExampleNotebooks/notebooks/Pathfinder/tmp/bernoulli_pm_profile_2.log
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp_approx__,lp__,theta
-0.432398, -7.67155, 0.369064
-1.11254, -8.35573, 0.50468
-0.491641, -7.69998, 0.286743
-1.57578, -8.86843, 0.5583
-0.653978, -7.87293, 0.430022
-1.57966, -8.87267, 0.558687
-2.75819, -9.47823, 0.121058
-1.24777, -8.37676, 0.185797
-0.522521, -7.7366, 0.395293
-0.944824, -8.17807, 0.481522
-0.789804, -8.01508, 0.456602
-0.663895, -7.88446, 0.432428
-2.81955, -10.2161, 0.655578
-0.440196, -7.65783, 0.306735
-1.10139, -8.35256, 0.504294
-0.682181, -7.90291, 0.436169
-0.713979, -7.91371, 0.238428
-1.00528, -8.16735, 0.205737
-1.19627, -8.33104, 0.18979
-0.580624, -7.81734, 0.417511
-0.599305, -7.80297, 0.258737
-3.0187, -10.395, 0.665787
-3.56745, -10.8684, 0.690731
-1.02928, -8.2746, 0.494515
-0.429151, -7.64683, 0.31559
-1.22864, -8.36074, 0.187177
-1.32094, -8.57776, 0.529796
-1.30242, -8.57067, 0.529045
-0.626316, -7.82699, 0.253788
-0.651451, -7.85026, 0.249324
-0.470245, -7.70846, 0.385513
-3.36192, -9.99394, 0.10193
-0.428995, -7.64562, 0.350075
-3.81105, -10.2842, 0.0929207
-0.508401, -7.72365, 0.278831
-0.543087, -7.76847, 0.266616
-0.763225, -7.98729, 0.451853
-1.11649, -8.35993, 0.505189
-0.496811, -7.71262, 0.28235
-2.00071, -8.98727, 0.144456
-0.399054, -7.63922, 0.339577
-0.545637, -7.75276, 0.27059
-0.752117, -7.97779, 0.450188
-1.42952, -8.70699, 0.542983
-0.978684, -8.13894, 0.208823
-0.630761, -7.84959, 0.424965
-1.05587, -8.2022, 0.202094
-0.474578, -7.69057, 0.378266
-1.21612, -8.46594, 0.517586
-0.431685, -7.64937, 0.313179
-1.31561, -8.4333, 0.18109
-0.515263, -7.73153, 0.393642
-0.542965, -7.75632, 0.401354
-2.40853, -9.2915, 0.129238
-1.97646, -8.9167, 0.148388
-0.44055, -7.6525, 0.356624
-0.931919, -8.16965, 0.480335
-0.421909, -7.63938, 0.326656
-1.08593, -8.32748, 0.501209
-0.461455, -7.67376, 0.370247
-3.21217, -9.78922, 0.108989
-0.914086, -8.15048, 0.477596
-1.65738, -8.71423, 0.160709
-0.556627, -7.76912, 0.266458
-0.82121, -8.04798, 0.462007
-2.36074, -9.63687, 0.618905
-0.640454, -7.84009, 0.251238
-0.438355, -7.65028, 0.354727
-0.49569, -7.7054, 0.284807
-0.424659, -7.66404, 0.364732
-0.473274, -7.68412, 0.375361
-0.420904, -7.6382, 0.332253
-0.5024, -7.74001, 0.39638
-0.532887, -7.74941, 0.399289
-0.486614, -7.69786, 0.381342
-0.737796, -7.96075, 0.447142
-0.399335, -7.63949, 0.340357
-0.752581, -7.94982, 0.23288
-1.25283, -8.37886, 0.185619
-1.0983, -8.24744, 0.197579
-1.22923, -8.34212, 0.188806
-1.26771, -8.39245, 0.184467
-0.481827, -7.69462, 0.38
-0.900191, -8.13554, 0.475428
-0.674122, -7.87115, 0.24555
-0.452364, -7.66977, 0.29975
-0.462729, -7.67875, 0.372791
-1.0801, -8.32953, 0.501464
-0.50659, -7.71579, 0.281311
-0.582614, -7.81932, 0.417986
-1.38763, -8.46758, 0.178348
-1.78607, -8.81509, 0.154365
-0.456547, -7.67385, 0.297693
-0.449301, -7.66138, 0.363054
-0.658159, -7.85645, 0.248184
-3.11583, -10.4982, 0.671472
-0.595697, -7.79961, 0.25946
-0.657103, -7.86801, 0.246105
-0.429857, -7.64754, 0.314884
-2.13498, -9.08821, 0.139113
-1.66398, -8.96467, 0.566908
-0.486871, -7.70311, 0.285613
-0.598127, -7.81536, 0.417033
-0.839643, -8.07059, 0.465599
-0.402327, -7.64201, 0.321487
-1.05549, -8.21101, 0.201197
-0.727199, -7.9282, 0.236154
-2.14344, -9.41347, 0.602968
-0.568092, -7.8049, 0.414466
-0.857076, -8.03691, 0.220926
-2.21507, -9.09192, 0.138923
-0.516033, -7.72989, 0.393097
-2.55269, -9.33399, 0.127307
-1.55075, -8.62752, 0.166534
-0.601902, -7.80427, 0.25846
-0.593443, -7.83008, 0.420527
-0.424425, -7.66218, 0.303986
-0.732439, -7.93267, 0.235466
-3.04095, -9.67312, 0.11329
-1.78174, -9.04126, 0.573511
-0.683771, -7.88083, 0.243867
-1.59876, -8.89081, 0.560334
-0.776257, -7.96992, 0.229958
-1.75207, -8.74852, 0.158503
-1.33442, -8.44853, 0.179861
-1.36231, -8.61014, 0.533187
-0.55437, -7.77842, 0.264235
-1.72102, -8.97877, 0.568139
-1.36088, -8.47077, 0.178097
-0.565759, -7.78013, 0.408052
-1.07607, -8.31701, 0.499905
-0.596184, -7.81332, 0.41654
-2.32366, -9.68457, 0.622165
-0.413019, -7.65178, 0.31115
-3.04095, -9.67312, 0.11329
-0.423688, -7.66151, 0.304392
-0.613876, -7.83052, 0.25309
-0.45402, -7.68901, 0.290968
-0.466383, -7.68239, 0.374551
-1.60398, -8.66882, 0.163713
-2.19215, -9.13214, 0.136884
